wl (nm)	EQE (%)
1.052000e+03	2.981613e+01
1.053000e+03	2.911800e+01
1.054000e+03	2.841987e+01
1.055000e+03	2.772174e+01
1.056000e+03	2.705157e+01
1.057000e+03	2.638141e+01
1.058000e+03	2.571125e+01
1.059000e+03	2.504108e+01
1.060000e+03	2.437092e+01
1.061000e+03	2.379031e+01
1.062000e+03	2.320970e+01
1.063000e+03	2.262910e+01
1.064000e+03	2.204849e+01
1.065000e+03	2.146788e+01
1.066000e+03	2.099408e+01
1.067000e+03	2.052029e+01
1.068000e+03	2.004649e+01
1.069000e+03	1.957269e+01
1.070000e+03	1.909889e+01
1.071000e+03	1.870186e+01
1.072000e+03	1.830482e+01
1.073000e+03	1.790778e+01
1.074000e+03	1.751075e+01
1.075000e+03	1.711371e+01
1.076000e+03	1.676637e+01
1.077000e+03	1.641902e+01
1.078000e+03	1.607168e+01
1.079000e+03	1.572434e+01
1.080000e+03	1.537700e+01
1.081000e+03	1.504236e+01
1.082000e+03	1.470771e+01
1.083000e+03	1.437307e+01
1.084000e+03	1.403843e+01
1.085000e+03	1.370378e+01
1.086000e+03	1.339399e+01
1.087000e+03	1.308419e+01
1.088000e+03	1.277439e+01
1.089000e+03	1.246459e+01
1.090000e+03	1.215479e+01
1.091000e+03	1.186848e+01
1.092000e+03	1.158216e+01
1.093000e+03	1.129585e+01
1.094000e+03	1.100953e+01
1.095000e+03	1.072321e+01
1.096000e+03	1.047176e+01
1.097000e+03	1.022031e+01
1.098000e+03	9.968853e+00
1.099000e+03	9.717400e+00
1.100000e+03	9.465946e+00
